Store,Dept,Date,Weekly_Sales,IsHoliday
39,59,2012-07-27,202.76,False
23,71,2011-02-18,16482.0,False
17,40,2010-02-26,48167.29,False
6,79,2011-01-07,21581.64,False
39,58,2011-05-13,1315.0,False
38,8,2010-07-16,8683.26,False
4,1,2010-12-03,36639.21,False
24,42,2010-12-03,5631.81,False
22,42,2012-04-20,8159.89,False
20,58,2011-11-11,2420.0,False
3,1,2011-05-27,5194.21,False
4,54,2012-03-02,28.92,False
11,14,2012-03-09,24604.93,False
10,80,2012-03-09,452.22,False
21,33,2011-10-28,9405.37,False
5,9,2010-03-19,11166.91,False
31,81,2010-02-19,23757.65,False
23,80,2010-06-18,23.88,False
39,41,2011-09-02,2309.0,False
41,33,2011-08-19,10347.69,False
27,60,2010-07-02,105.6,False
41,34,2012-06-01,16950.91,False
1,41,2011-10-21,1354.5,False
14,41,2010-07-16,1514.8,False
12,20,2012-09-14,5929.37,False
34,93,2010-02-12,28321.63,True
24,2,2012-06-15,41092.58,False
31,16,2011-05-27,10867.13,False
42,59,2011-10-21,70.75,False
36,2,2011-08-19,12763.0,False
4,37,2011-04-08,4418.93,False
39,11,2011-12-02,33210.29,False
38,67,2012-01-13,510.15,False
14,25,2010-08-20,12512.0,False
41,24,2012-04-20,4032.87,False
5,79,2010-04-16,5320.64,False
25,79,2011-04-01,8637.38,False
1,91,2011-04-29,54050.06,False
2,85,2012-03-23,2902.42,False
8,5,2012-03-30,19640.08,False
2,13,2011-11-11,43893.56,False
41,5,2011-10-14,25984.12,False
18,51,2010-02-26,6.12,False
41,13,2011-08-19,41135.28,False
2,34,2010-05-14,21863.32,False
36,79,2012-06-01,18583.81,False
37,98,2012-08-31,4582.12,False
9,96,2011-09-02,3883.72,False
2,40,2012-04-13,73992.82,False
32,25,2012-03-09,7631.09,False
9,31,2012-06-15,676.19,False
43,87,2011-07-01,124.86,False
8,18,2011-09-23,3547.0,False
28,21,2011-12-23,7924.2,False
19,46,2011-02-25,19619.09,False
15,54,2011-07-08,15.0,False
21,30,2011-12-16,3587.22,False
28,58,2011-03-11,3496.0,False
24,27,2010-06-25,1538.0,False
37,10,2011-07-01,378.62,False
24,22,2011-08-26,11945.62,False
15,34,2011-01-07,8580.75,False
26,54,2011-10-14,22.34,False
34,48,2010-11-19,177.0,False
6,42,2011-01-07,7950.62,False
26,52,2010-02-05,1938.76,False
24,22,2010-02-19,17333.37,False
27,87,2012-09-14,18423.73,False
30,42,2011-12-02,61.55,False
7,28,2011-07-29,108.59,False
16,5,2012-02-17,16689.1,False
12,46,2012-10-26,32315.34,False
34,7,2012-04-20,15447.44,False
15,36,2010-09-17,930.0,False
35,23,2011-01-07,27720.48,False
4,27,2012-08-24,2501.33,False
44,82,2011-11-11,3317.07,False
8,79,2010-10-08,23393.32,False
29,27,2012-10-19,1849.43,False
2,27,2012-09-07,1185.49,True
36,94,2011-12-30,30611.46,True
8,71,2012-08-10,1779.15,False
1,27,2012-09-21,1047.27,False
45,26,2010-06-04,7362.45,False
2,28,2011-07-29,387.34,False
32,14,2012-09-07,12693.52,True
9,28,2012-06-29,140.68,False
18,91,2012-08-31,22649.75,False
5,79,2012-06-29,5398.7,False
14,24,2012-01-20,5010.49,False
9,20,2010-07-09,2322.75,False
41,17,2012-08-03,14026.2,False
41,27,2011-08-12,1135.58,False
16,90,2010-04-16,3844.18,False
21,7,2012-03-30,17579.32,False
29,12,2011-11-25,2090.42,True
39,30,2010-05-07,5269.48,False
18,74,2012-03-02,21382.82,False
19,24,2012-10-05,6121.04,False
15,80,2012-07-13,81.74,False
1,59,2012-04-27,157.52,False
24,36,2010-10-15,1766.0,False
