,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog,Att 3rd,DribSucc,DribPl,Rec
David de Gea,27.0,38.0,38.0,3420.0,0.0,0.0,1.0,0.0,0.0,65.5,1.0,1.0,0.0,0.0,422.0
Paul Pogba,25.0,35.0,34.0,3006.0,13.0,9.0,6.0,96.0,6.0,81.7,274.0,870.0,60.0,62.0,2075.0
Victor Lindelöf,24.0,30.0,29.0,2601.0,1.0,1.0,1.0,7.0,0.0,89.3,71.0,38.0,7.0,7.0,1142.0
Luke Shaw,23.0,29.0,29.0,2591.0,1.0,4.0,11.0,20.0,0.0,83.5,238.0,656.0,28.0,30.0,1371.0
Ashley Young,33.0,30.0,28.0,2569.0,2.0,2.0,9.0,12.0,2.0,72.5,259.0,649.0,22.0,23.0,1185.0
Nemanja Matić,29.0,28.0,28.0,2436.0,1.0,0.0,7.0,12.0,0.0,87.9,152.0,314.0,18.0,20.0,1410.0
Marcus Rashford,20.0,33.0,26.0,2334.0,10.0,6.0,3.0,83.0,12.0,73.9,75.0,660.0,48.0,52.0,851.0
Chris Smalling,28.0,24.0,24.0,2127.0,1.0,0.0,1.0,12.0,0.0,86.6,38.0,42.0,1.0,1.0,668.0
Romelu Lukaku,25.0,32.0,22.0,2136.0,12.0,0.0,4.0,59.0,0.0,65.0,49.0,467.0,26.0,27.0,653.0
Jesse Lingard,25.0,27.0,19.0,1663.0,4.0,2.0,3.0,31.0,0.0,84.8,49.0,449.0,19.0,23.0,765.0
Anthony Martial,22.0,27.0,18.0,1621.0,10.0,2.0,2.0,37.0,0.0,76.5,83.0,575.0,31.0,34.0,812.0
Ander Herrera,28.0,22.0,16.0,1403.0,2.0,3.0,4.0,21.0,0.0,87.3,84.0,255.0,16.0,16.0,846.0
Juan Mata,30.0,22.0,16.0,1289.0,3.0,2.0,3.0,19.0,3.0,80.7,84.0,406.0,12.0,13.0,659.0
Phil Jones,26.0,18.0,15.0,1263.0,0.0,1.0,1.0,5.0,0.0,92.5,31.0,27.0,4.0,4.0,572.0
Fred,25.0,17.0,13.0,1041.0,1.0,1.0,2.0,17.0,1.0,85.3,72.0,171.0,11.0,13.0,647.0
Diogo Dalot,19.0,16.0,12.0,1013.0,0.0,2.0,3.0,15.0,0.0,71.0,69.0,249.0,12.0,13.0,392.0
Alexis Sánchez,29.0,20.0,9.0,880.0,1.0,3.0,3.0,18.0,2.0,71.4,51.0,272.0,20.0,21.0,416.0
Scott McTominay,21.0,16.0,9.0,867.0,2.0,0.0,1.0,15.0,0.0,85.1,28.0,78.0,2.0,4.0,383.0
Eric Bailly,24.0,12.0,8.0,638.0,0.0,0.0,0.0,3.0,0.0,86.1,10.0,10.0,2.0,2.0,233.0
Marouane Fellaini,30.0,14.0,6.0,752.0,0.0,1.0,1.0,8.0,0.0,80.1,31.0,118.0,4.0,5.0,369.0
Andreas Pereira,22.0,15.0,6.0,599.0,1.0,1.0,5.0,8.0,1.0,82.5,38.0,106.0,10.0,10.0,308.0
Antonio Valencia,32.0,6.0,5.0,466.0,0.0,0.0,2.0,2.0,0.0,85.7,40.0,99.0,3.0,3.0,244.0
Matteo Darmian,28.0,6.0,5.0,443.0,0.0,0.0,0.0,1.0,0.0,85.4,17.0,64.0,1.0,2.0,149.0
Marcos Rojo,28.0,5.0,2.0,212.0,0.0,0.0,2.0,6.0,1.0,72.3,9.0,21.0,1.0,1.0,110.0
Mason Greenwood,16.0,3.0,1.0,117.0,0.0,0.0,0.0,7.0,0.0,83.6,4.0,52.0,3.0,3.0,65.0
Tahith Chong,18.0,2.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,86.7,2.0,14.0,1.0,1.0,19.0
Angel Gomes,17.0,2.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,87.0,1.0,12.0,0.0,0.0,22.0
James Garner,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ederson,24.0,38.0,38.0,3420.0,0.0,1.0,2.0,0.0,0.0,85.7,3.0,0.0,1.0,1.0,628.0
Aymeric Laporte,24.0,35.0,34.0,3057.0,3.0,3.0,3.0,27.0,0.0,92.2,251.0,208.0,2.0,3.0,2602.0
Bernardo Silva,23.0,36.0,31.0,2854.0,7.0,7.0,3.0,64.0,0.0,84.1,168.0,1141.0,50.0,55.0,1628.0
Raheem Sterling,23.0,34.0,31.0,2771.0,17.0,9.0,3.0,76.0,1.0,82.2,100.0,1237.0,86.0,91.0,1453.0
Sergio Agüero,30.0,33.0,31.0,2459.0,21.0,8.0,4.0,118.0,3.0,84.7,68.0,779.0,29.0,32.0,892.0
Kyle Walker,28.0,33.0,30.0,2779.0,1.0,1.0,3.0,20.0,1.0,88.0,189.0,753.0,23.0,25.0,2128.0
David Silva,32.0,33.0,28.0,2401.0,6.0,8.0,2.0,50.0,4.0,85.6,204.0,1174.0,27.0,31.0,1911.0
Fernandinho,33.0,29.0,27.0,2377.0,1.0,3.0,5.0,31.0,0.0,87.2,218.0,447.0,8.0,12.0,1760.0
İlkay Gündoğan,27.0,31.0,23.0,2137.0,6.0,3.0,3.0,43.0,2.0,87.7,201.0,824.0,17.0,18.0,1806.0
Leroy Sané,22.0,31.0,21.0,1867.0,10.0,10.0,1.0,56.0,5.0,78.6,93.0,932.0,60.0,65.0,986.0
John Stones,24.0,24.0,20.0,1764.0,0.0,0.0,1.0,5.0,0.0,94.5,86.0,118.0,5.0,5.0,1504.0
Riyad Mahrez,27.0,27.0,14.0,1343.0,7.0,4.0,0.0,54.0,1.0,81.1,98.0,654.0,31.0,33.0,832.0
Nicolás Otamendi,30.0,18.0,14.0,1236.0,0.0,0.0,1.0,14.0,0.0,93.0,54.0,59.0,1.0,1.0,1081.0
Oleksandr Zinchenko,21.0,14.0,14.0,1151.0,0.0,3.0,1.0,7.0,0.0,90.3,117.0,525.0,7.0,8.0,1066.0
Vincent Kompany,32.0,17.0,13.0,1224.0,1.0,0.0,6.0,3.0,0.0,93.0,68.0,42.0,3.0,3.0,1053.0
Kevin De Bruyne,27.0,19.0,11.0,975.0,2.0,2.0,2.0,31.0,3.0,76.3,110.0,516.0,17.0,20.0,730.0
Benjamin Mendy,24.0,10.0,10.0,900.0,0.0,5.0,1.0,7.0,0.0,84.5,113.0,345.0,12.0,15.0,603.0
Danilo,27.0,11.0,9.0,807.0,1.0,0.0,1.0,14.0,0.0,88.1,66.0,315.0,6.0,6.0,677.0
Gabriel Jesus,21.0,29.0,8.0,1036.0,7.0,3.0,1.0,42.0,0.0,82.7,21.0,326.0,23.0,26.0,422.0
