,index,MP,Starts,Min,Gls,Ast,ShotonTarget,TotPassCmp,Prog,Touches_Att3rd,DribSucc,DribPl,Rec,Annual_Salary(GBP)
0,aaron cresswell,20.0,18.0,1589.0,0.0,1.0,0.0,835.0,109.0,364.0,8.0,8.0,710.0,2600000.0
1,aaron lennon,16.0,14.0,1215.0,1.0,1.0,2.0,235.0,19.0,173.0,8.0,8.0,273.0,1820000.0
2,aaron ramsey,28.0,14.0,1331.0,4.0,6.0,12.0,647.0,70.0,399.0,12.0,14.0,769.0,6240000.0
3,aaron wan-bissaka,35.0,35.0,3134.0,0.0,3.0,0.0,1156.0,164.0,558.0,75.0,78.0,933.0,780000.0
4,abdoulaye doucoure,35.0,34.0,3062.0,5.0,6.0,16.0,1640.0,165.0,565.0,41.0,44.0,1578.0,3640000.0
5,adam lallana,13.0,5.0,468.0,0.0,0.0,2.0,253.0,35.0,175.0,9.0,10.0,282.0,5720000.0
6,adam masina,14.0,11.0,1004.0,0.0,1.0,0.0,436.0,67.0,148.0,6.0,6.0,330.0,1456000.0
7,adam smith,25.0,25.0,2066.0,1.0,1.0,1.0,860.0,116.0,375.0,18.0,19.0,753.0,1820000.0
8,adama traore,29.0,8.0,902.0,1.0,1.0,7.0,240.0,45.0,254.0,57.0,63.0,371.0,2236000.0
9,ademola lookman,21.0,3.0,618.0,0.0,2.0,3.0,221.0,33.0,201.0,27.0,28.0,279.0,1196000.0
10,adrian mariappa,26.0,20.0,1927.0,0.0,0.0,1.0,736.0,44.0,26.0,1.0,2.0,672.0,780000.0
11,adrien silva,2.0,1.0,88.0,0.0,0.0,0.0,70.0,6.0,19.0,0.0,0.0,68.0,4160000.0
12,ainsley maitland-niles,16.0,11.0,987.0,1.0,1.0,3.0,454.0,73.0,240.0,19.0,19.0,411.0,1820000.0
13,alberto moreno,2.0,2.0,154.0,0.0,0.0,0.0,110.0,15.0,39.0,4.0,4.0,96.0,3380000.0
14,alex iwobi,35.0,22.0,1970.0,3.0,6.0,14.0,774.0,130.0,692.0,53.0,58.0,1073.0,2600000.0
15,alex mccarthy,25.0,25.0,2250.0,0.0,0.0,0.0,318.0,0.0,1.0,1.0,1.0,212.0,2600000.0
16,alex oxlade-chamberlain,2.0,0.0,21.0,0.0,0.0,1.0,12.0,6.0,5.0,1.0,1.0,16.0,6240000.0
17,alexander sorloth,12.0,0.0,185.0,0.0,0.0,2.0,41.0,5.0,53.0,1.0,1.0,61.0,1040000.0
18,alexandre lacazette,35.0,27.0,2502.0,13.0,8.0,28.0,579.0,79.0,664.0,52.0,53.0,893.0,9467273.0
19,alexis sanchez,20.0,9.0,880.0,1.0,3.0,9.0,292.0,51.0,272.0,20.0,21.0,416.0,18200000.0
20,alireza jahanbakhsh,19.0,12.0,1020.0,0.0,0.0,7.0,210.0,32.0,208.0,17.0,22.0,298.0,2600000.0
21,alisson,38.0,38.0,3420.0,0.0,0.0,0.0,1039.0,0.0,0.0,1.0,1.0,671.0,0.0
22,alvaro morata,16.0,11.0,941.0,5.0,0.0,16.0,171.0,5.0,180.0,7.0,7.0,287.0,0.0
23,ander herrera,22.0,16.0,1403.0,2.0,3.0,9.0,864.0,84.0,255.0,16.0,16.0,846.0,5980000.0
24,andre gomes,27.0,24.0,1980.0,1.0,1.0,5.0,1025.0,117.0,314.0,34.0,37.0,1008.0,5800000.0
25,andre gray,29.0,13.0,1366.0,7.0,2.0,15.0,171.0,12.0,256.0,12.0,13.0,325.0,3640000.0
26,andreas christensen,8.0,6.0,617.0,0.0,0.0,0.0,416.0,32.0,7.0,0.0,0.0,346.0,4160000.0
27,andreas pereira,15.0,6.0,599.0,1.0,1.0,2.0,297.0,38.0,106.0,10.0,10.0,308.0,1560000.0
28,andrew robertson,36.0,36.0,3216.0,0.0,11.0,5.0,2283.0,321.0,1041.0,30.0,32.0,2155.0,2600000.0
29,andrew surman,18.0,16.0,1439.0,0.0,0.0,1.0,725.0,85.0,161.0,4.0,4.0,652.0,1820000.0
30,andriy yarmolenko,9.0,5.0,459.0,2.0,0.0,3.0,168.0,20.0,152.0,4.0,4.0,215.0,5980000.0
31,andros townsend,38.0,34.0,3009.0,6.0,4.0,17.0,895.0,134.0,909.0,75.0,79.0,1131.0,2860000.0
32,andy carroll,12.0,3.0,461.0,0.0,0.0,6.0,86.0,4.0,73.0,3.0,4.0,143.0,4680000.0
33,angel gomes,2.0,0.0,27.0,0.0,0.0,1.0,20.0,1.0,12.0,0.0,0.0,22.0,0.0
34,angelo ogbonna,24.0,20.0,1874.0,1.0,1.0,5.0,659.0,34.0,34.0,2.0,2.0,563.0,3640000.0
35,angus gunn,12.0,12.0,1080.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,94.0,2080000.0
36,anthony knockaert,30.0,18.0,1837.0,2.0,6.0,9.0,523.0,85.0,445.0,29.0,33.0,611.0,1820000.0
37,anthony martial,27.0,18.0,1621.0,10.0,2.0,22.0,575.0,83.0,575.0,31.0,34.0,812.0,5720000.0
38,antonio barreca,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0
39,antonio rudiger,33.0,33.0,2871.0,1.0,0.0,7.0,2310.0,149.0,76.0,4.0,5.0,2079.0,6000000.0
40,antonio valencia,6.0,5.0,466.0,0.0,0.0,0.0,275.0,40.0,99.0,3.0,3.0,244.0,4420000.0
41,arthur masuaku,23.0,19.0,1759.0,0.0,1.0,1.0,878.0,91.0,294.0,30.0,30.0,730.0,2080000.0
42,artur boruc,12.0,12.0,1080.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,103.0,2080000.0
43,ashley barnes,37.0,26.0,2388.0,12.0,2.0,27.0,346.0,45.0,450.0,11.0,12.0,631.0,2080000.0
44,ashley westwood,34.0,31.0,2824.0,2.0,7.0,7.0,1111.0,200.0,458.0,11.0,11.0,1013.0,1612000.0
45,ashley young,30.0,28.0,2569.0,2.0,2.0,3.0,1380.0,259.0,649.0,22.0,23.0,1185.0,6240000.0
