,index,Age,MP,Starts,CrdY,P90Gls,P90Ast,90s,Sh/90,SoT/90,TotPassCmp,KP,Prog,DribPl,Annual_Salary(GBP),Pos
0,aaron cresswell,28.0,20.0,18.0,1.0,0.0,0.06,17.7,0.62,0.0,835.0,16.0,109.0,8.0,2600000.0,D
1,aaron lennon,31.0,16.0,14.0,1.0,0.07,0.07,13.5,0.3,0.15,235.0,7.0,19.0,8.0,1820000.0,F
2,aaron ramsey,27.0,28.0,14.0,0.0,0.27,0.41,14.8,2.23,0.81,647.0,24.0,70.0,14.0,6240000.0,M
3,aaron wan-bissaka,20.0,35.0,35.0,4.0,0.0,0.09,34.8,0.26,0.0,1156.0,14.0,164.0,78.0,780000.0,D
4,abdoulaye doucoure,25.0,35.0,34.0,7.0,0.15,0.18,34.0,1.53,0.47,1640.0,37.0,165.0,44.0,3640000.0,M
5,adam lallana,30.0,13.0,5.0,1.0,0.0,0.0,5.2,0.96,0.38,253.0,9.0,35.0,10.0,5720000.0,M
6,adam masina,24.0,14.0,11.0,5.0,0.0,0.09,11.2,0.27,0.0,436.0,2.0,67.0,6.0,1456000.0,D
7,adam smith,27.0,25.0,25.0,5.0,0.04,0.04,23.0,0.35,0.04,860.0,10.0,116.0,19.0,1820000.0,D
8,adama traore,22.0,29.0,8.0,1.0,0.1,0.1,10.0,1.9,0.7,240.0,17.0,45.0,63.0,2236000.0,F
9,ademola lookman,20.0,21.0,3.0,0.0,0.0,0.29,6.9,1.75,0.44,221.0,9.0,33.0,28.0,1196000.0,F
10,adrian mariappa,31.0,26.0,20.0,3.0,0.0,0.0,21.4,0.23,0.05,736.0,5.0,44.0,2.0,780000.0,D
11,adrien silva,29.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,70.0,0.0,6.0,0.0,4160000.0,M
12,ainsley maitland-niles,20.0,16.0,11.0,2.0,0.09,0.09,11.0,0.55,0.27,454.0,6.0,73.0,19.0,1820000.0,D
13,alberto moreno,26.0,2.0,2.0,0.0,0.0,0.0,1.7,0.58,0.0,110.0,3.0,15.0,4.0,3380000.0,D
14,alex iwobi,22.0,35.0,22.0,0.0,0.14,0.27,21.9,1.6,0.64,774.0,39.0,130.0,58.0,2600000.0,F
15,alex mccarthy,28.0,25.0,25.0,1.0,0.0,0.0,25.0,0.0,0.0,318.0,0.0,0.0,1.0,2600000.0,G
16,alex oxlade-chamberlain,24.0,2.0,0.0,0.0,0.0,0.0,0.2,4.29,4.29,12.0,1.0,6.0,1.0,6240000.0,M
17,alexander sorloth,22.0,12.0,0.0,0.0,0.0,0.0,2.1,1.95,0.97,41.0,3.0,5.0,1.0,1040000.0,F
18,alexandre lacazette,27.0,35.0,27.0,2.0,0.47,0.29,27.8,2.91,1.01,579.0,29.0,79.0,53.0,9467273.0,F
19,alexis sanchez,29.0,20.0,9.0,3.0,0.1,0.31,9.8,1.84,0.92,292.0,20.0,51.0,21.0,18200000.0,F
20,alireza jahanbakhsh,24.0,19.0,12.0,2.0,0.0,0.0,11.3,1.94,0.62,210.0,4.0,32.0,22.0,2600000.0,F
21,alisson,25.0,38.0,38.0,1.0,0.0,0.0,38.0,0.0,0.0,1039.0,0.0,0.0,1.0,4680000,G
22,alvaro morata,25.0,16.0,11.0,3.0,0.48,0.0,10.5,3.35,1.53,171.0,6.0,5.0,7.0,NaN,F
23,ander herrera,28.0,22.0,16.0,4.0,0.13,0.19,15.6,1.35,0.58,864.0,12.0,84.0,16.0,5980000.0,M
24,andre gomes,25.0,27.0,24.0,7.0,0.05,0.05,22.0,1.0,0.23,1025.0,7.0,117.0,37.0,5800000.0,M
25,andre gray,27.0,29.0,13.0,2.0,0.46,0.13,15.2,2.44,0.99,171.0,13.0,12.0,13.0,3640000.0,F
26,andreas christensen,22.0,8.0,6.0,1.0,0.0,0.0,6.9,0.0,0.0,416.0,0.0,32.0,0.0,4160000.0,D
27,andreas pereira,22.0,15.0,6.0,5.0,0.15,0.15,6.7,1.2,0.3,297.0,9.0,38.0,10.0,1560000.0,M
28,andrew robertson,24.0,36.0,36.0,4.0,0.0,0.31,35.7,0.39,0.14,2283.0,52.0,321.0,32.0,2600000.0,D
29,andrew surman,31.0,18.0,16.0,2.0,0.0,0.0,16.0,0.56,0.06,725.0,9.0,85.0,4.0,1820000.0,M
30,andriy yarmolenko,28.0,9.0,5.0,2.0,0.39,0.0,5.1,1.76,0.59,168.0,5.0,20.0,4.0,5980000.0,F
31,andros townsend,27.0,38.0,34.0,1.0,0.18,0.12,33.4,1.85,0.51,895.0,64.0,134.0,79.0,2860000.0,F
32,andy carroll,29.0,12.0,3.0,2.0,0.0,0.0,5.1,2.73,1.17,86.0,3.0,4.0,4.0,4680000.0,F
33,angel gomes,17.0,2.0,0.0,0.0,0.0,0.0,0.3,6.67,3.33,20.0,0.0,1.0,0.0,NaN,M
34,angelo ogbonna,30.0,24.0,20.0,2.0,0.05,0.05,20.8,0.62,0.24,659.0,4.0,34.0,2.0,3640000.0,D
35,angus gunn,22.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,119.0,0.0,0.0,0.0,2080000.0,G
